"상세영업상태코드","사업장명","시군구명","동리명","설립년도","폐업년도","영업기간"
2,"라리케이크","중구","소공동",2010,2011,2
2,"오페뜨 서래점","서초구","반포동",2008,2020,13
2,"7 O'clock","서초구","방배동",2008,2008,1
2,"움트","서초구","잠원동",2015,2016,2
2,"피엔비(PNB)","서초구","반포동",2015,2015,1
2,"GONTRAN CHERRIER (곤트란쉐리에) 잠원점","서초구","잠원동",2015,2017,3
2,"델라보보 강남NO점","서초구","잠원동",2015,2016,2
2,"팥고당","서초구","반포동",2016,2018,3
2,"곤트란쉐리에 센트럴시티점","서초구","반포동",2016,2020,5
2,"마고","서초구","반포동",2016,2016,1
2,"블루바니","서초구","방배동",1996,2019,24
2,"이희관베이커리","서초구","서초동",1996,2011,16
2,"부랑즈리제과점","서초구","반포동",1997,2019,23
2,"크라운베이커리","서초구","서초동",1997,2006,10
2,"루돌프베이커리","서초구","반포동",1998,2012,15
2,"파리바게트잠원역점","서초구","잠원동",1998,2020,23
2,"Art K (아트케이)","서초구","방배동",2016,2017,2
2,"젠베이커 반포아이파크점","서초구","반포동",2016,2018,3
2,"브레드앤써플라이","서초구","반포동",2016,2017,2
2,"배스킨라빈스 서울베이비 키즈페어 임시부스","서초구","양재동",2016,2016,1
2,"미에뜨","서초구","서초동",2016,2021,6
2,"주식회사 가토드보야주","서초구","반포동",2016,2016,1
2,"단수이 대왕카스테라 방배점","서초구","방배동",2017,2017,1
2,"캐빈","성동구","금호동1가",2002,2007,6
2,"레드팡과자점","성동구","마장동",2002,2013,12
2,"크라운베이커리","성동구","금호동1가",2002,2008,7
2,"케익하우스 동경","성동구","금호동2가",2002,2015,14
2,"크라운베이커리 한대점","성동구","행당동",2002,2007,6
2,"크라운베이커리옥수점","성동구","옥수동",2003,2017,15
2,"(주)크라운제과한양대병원점","성동구","행당동",2003,2013,11
2,"아이비케익카페","성동구","행당동",2003,2010,8
2,"빵내음","성동구","하왕십리동",1996,2010,15
2,"크라운베이커리","성동구","성수동2가",1996,2007,12
2,"정형석과자점","성동구","성수동1가",1997,2008,12
2,"케洋臼肄 바하","성동구","행당동",1997,2010,14
2,"라케익","성동구","행당동",1998,2005,8
2,"빵굽는작은마을","성동구","성수동1가",1998,2019,22
2,"빵의마을","성동구","용답동",1999,2017,19
2,"빵굼터","성동구","행당동",1999,2012,14
2,"파리바게트 신금호역점","성동구","금호동2가",1999,2013,15
2,"본네스뻬(행당점)","성동구","행당동",1999,2017,19
2,"던킨도너츠","성동구","행당동",1999,2007,9
2,"로마파네","성동구","옥수동",1999,2007,9
2,"칸피던트과자점","성동구","옥수동",1999,2014,16
2,"맛나베이커리","성동구","금호동3가",1999,2018,20
2,"브랑제리","성동구","행당동",1999,2006,8
2,"케익프라자","성동구","성수동1가",1999,2008,10
2,"케익하우스몽마","성동구","금호동3가",2000,2006,7
2,"세니카스테라","중구","신당동",2017,2019,3
2,"대두강남식품","중구","충무로1가",2006,2007,2
2,"에프디 크레페","중구","충무로1가",2006,2017,12
2,"크라운베이커리","중구","중림동",2006,2011,6
2,"홍케익","중구","신당동",2017,2018,2
2,"삼송빵집","중구","소공동",2017,2019,3
2,"한입원바이트","중구","충무로1가",2017,2017,1
2,"호도원호두과자","중구","충무로1가",2006,2006,1
2,"스티키핑거스베이커리","중구","충무로1가",2006,2011,6
2,"세미식품","중구","충무로1가",2006,2008,3
2,"레드빈1","중구","충무로1가",2006,2006,1
2,"라이스존","중구","충무로1가",2006,2011,6
2,"앤드류스에그타르트","중구","충무로1가",2006,2006,1
2,"호도원호두과자","중구","충무로1가",2006,2008,3
2,"삼순이","중구","충무로1가",2006,2010,5
2,"테레목","중구","광희동1가",2011,2017,7
2,"파리바게뜨(까페명동광장점)","중구","을지로2가",2011,2017,7
2,"비스코티하우스","중구","충무로1가",2011,2021,11
2,"BTM","중구","소공동",2011,2015,5
2,"브레드05","중구","소공동",2011,2017,7
2,"그래인스","중구","소공동",2012,2012,1
